Catégorie : Toutes catégories

Semaine,Blake Shelton: (États-Unis)
2022-11-20,76
2022-11-27,76
2022-12-04,72
2022-12-11,100
2022-12-18,53
2022-12-25,51
2023-01-01,36
2023-01-08,31
2023-01-15,31
2023-01-22,35
2023-01-29,28
2023-02-05,38
2023-02-12,44
2023-02-19,56
2023-02-26,63
2023-03-05,79
2023-03-12,67
2023-03-19,66
2023-03-26,44
2023-04-02,79
2023-04-09,54
2023-04-16,44
2023-04-23,42
2023-04-30,39
2023-05-07,36
2023-05-14,46
2023-05-21,93
2023-05-28,33
2023-06-04,26
2023-06-11,27
2023-06-18,28
2023-06-25,28
2023-07-02,29
2023-07-09,23
2023-07-16,64
2023-07-23,76
2023-07-30,35
2023-08-06,24
2023-08-13,85
2023-08-20,19
2023-08-27,19
2023-09-03,36
2023-09-10,22
2023-09-17,26
2023-09-24,44
2023-10-01,39
2023-10-08,28
2023-10-15,65
2023-10-22,40
2023-10-29,29
2023-11-05,39
