Catégorie : Toutes catégories

Semaine,Tom Waite: (États-Unis)
2022-11-13,0
2022-11-20,35
2022-11-27,22
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,80
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,28
2023-01-29,0
2023-02-05,39
2023-02-12,26
2023-02-19,29
2023-02-26,0
2023-03-05,41
2023-03-12,29
2023-03-19,26
2023-03-26,39
2023-04-02,24
2023-04-09,62
2023-04-16,0
2023-04-23,53
2023-04-30,0
2023-05-07,0
2023-05-14,30
2023-05-21,33
2023-05-28,0
2023-06-04,34
2023-06-11,39
2023-06-18,0
2023-06-25,21
2023-07-02,38
2023-07-09,32
2023-07-16,0
2023-07-23,0
2023-07-30,18
2023-08-06,0
2023-08-13,48
2023-08-20,43
2023-08-27,0
2023-09-03,20
2023-09-10,49
2023-09-17,0
2023-09-24,100
2023-10-01,0
2023-10-08,0
2023-10-15,25
2023-10-22,0
2023-10-29,0
2023-11-05,0
