Catégorie : Toutes catégories

Semaine,Michelle Wie: (États-Unis)
2022-11-13,2
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,1
2022-12-18,1
2022-12-25,1
2023-01-01,2
2023-01-08,1
2023-01-15,2
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,1
2023-02-19,2
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,2
2023-03-26,2
2023-04-02,2
2023-04-09,6
2023-04-16,3
2023-04-23,3
2023-04-30,2
2023-05-07,2
2023-05-14,3
2023-05-21,2
2023-05-28,4
2023-06-04,9
2023-06-11,4
2023-06-18,5
2023-06-25,5
2023-07-02,100
2023-07-09,29
2023-07-16,6
2023-07-23,2
2023-07-30,1
2023-08-06,4
2023-08-13,2
2023-08-20,1
2023-08-27,2
2023-09-03,1
2023-09-10,1
2023-09-17,2
2023-09-24,1
2023-10-01,1
2023-10-08,3
2023-10-15,2
2023-10-22,1
2023-10-29,1
2023-11-05,2
