Catégorie : Toutes catégories

Semaine,Clint Eastwood: (États-Unis)
2022-11-13,31
2022-11-20,40
2022-11-27,31
2022-12-04,39
2022-12-11,32
2022-12-18,33
2022-12-25,43
2023-01-01,39
2023-01-08,47
2023-01-15,36
2023-01-22,36
2023-01-29,34
2023-02-05,34
2023-02-12,30
2023-02-19,34
2023-02-26,31
2023-03-05,55
2023-03-12,38
2023-03-19,40
2023-03-26,45
2023-04-02,33
2023-04-09,38
2023-04-16,35
2023-04-23,35
2023-04-30,32
2023-05-07,45
2023-05-14,45
2023-05-21,45
2023-05-28,81
2023-06-04,40
2023-06-11,44
2023-06-18,100
2023-06-25,72
2023-07-02,89
2023-07-09,50
2023-07-16,47
2023-07-23,49
2023-07-30,42
2023-08-06,67
2023-08-13,43
2023-08-20,42
2023-08-27,45
2023-09-03,49
2023-09-10,40
2023-09-17,42
2023-09-24,35
2023-10-01,36
2023-10-08,43
2023-10-15,87
2023-10-22,40
2023-10-29,37
2023-11-05,37
