Catégorie : Toutes catégories

Semaine,BTS: (États-Unis)
2022-11-20,100
2022-11-27,87
2022-12-04,81
2022-12-11,97
2022-12-18,86
2022-12-25,88
2023-01-01,95
2023-01-08,86
2023-01-15,79
2023-01-22,73
2023-01-29,90
2023-02-05,91
2023-02-12,84
2023-02-19,72
2023-02-26,81
2023-03-05,78
2023-03-12,70
2023-03-19,67
2023-03-26,73
2023-04-02,85
2023-04-09,71
2023-04-16,74
2023-04-23,71
2023-04-30,70
2023-05-07,76
2023-05-14,76
2023-05-21,68
2023-05-28,75
2023-06-04,75
2023-06-11,78
2023-06-18,64
2023-06-25,62
2023-07-02,60
2023-07-09,75
2023-07-16,61
2023-07-23,52
2023-07-30,50
2023-08-06,62
2023-08-13,51
2023-08-20,48
2023-08-27,50
2023-09-03,48
2023-09-10,49
2023-09-17,49
2023-09-24,48
2023-10-01,44
2023-10-08,47
2023-10-15,45
2023-10-22,47
2023-10-29,41
2023-11-05,53
