Catégorie : Toutes catégories

Semaine,Julian Richings: (États-Unis)
2022-11-06,40
2022-11-13,24
2022-11-20,0
2022-11-27,47
2022-12-04,21
2022-12-11,20
2022-12-18,17
2022-12-25,61
2023-01-01,21
2023-01-08,39
2023-01-15,80
2023-01-22,34
2023-01-29,0
2023-02-05,0
2023-02-12,46
2023-02-19,35
2023-02-26,43
2023-03-05,14
2023-03-12,18
2023-03-19,46
2023-03-26,22
2023-04-02,49
2023-04-09,0
2023-04-16,75
2023-04-23,31
2023-04-30,32
2023-05-07,0
2023-05-14,0
2023-05-21,71
2023-05-28,47
2023-06-04,0
2023-06-11,0
2023-06-18,24
2023-06-25,20
2023-07-02,0
2023-07-09,0
2023-07-16,32
2023-07-23,18
2023-07-30,40
2023-08-06,43
2023-08-13,92
2023-08-20,26
2023-08-27,18
2023-09-03,17
2023-09-10,41
2023-09-17,24
2023-09-24,42
2023-10-01,36
2023-10-08,100
2023-10-15,31
2023-10-22,0
2023-10-29,27
