Catégorie : Toutes catégories

Semaine,Bailey Chase: (États-Unis)
2022-11-06,22
2022-11-13,21
2022-11-20,28
2022-11-27,19
2022-12-04,21
2022-12-11,26
2022-12-18,26
2022-12-25,31
2023-01-01,26
2023-01-08,28
2023-01-15,25
2023-01-22,29
2023-01-29,34
2023-02-05,31
2023-02-12,27
2023-02-19,71
2023-02-26,100
2023-03-05,69
2023-03-12,47
2023-03-19,38
2023-03-26,31
2023-04-02,31
2023-04-09,28
2023-04-16,22
2023-04-23,12
2023-04-30,19
2023-05-07,34
2023-05-14,39
2023-05-21,40
2023-05-28,39
2023-06-04,23
2023-06-11,26
2023-06-18,28
2023-06-25,31
2023-07-02,34
2023-07-09,26
2023-07-16,28
2023-07-23,35
2023-07-30,20
2023-08-06,18
2023-08-13,21
2023-08-20,27
2023-08-27,25
2023-09-03,30
2023-09-10,22
2023-09-17,19
2023-09-24,30
2023-10-01,25
2023-10-08,21
2023-10-15,22
2023-10-22,22
2023-10-29,0
