Catégorie : Toutes catégories

Semaine,Billie Eilish: (États-Unis)
2022-11-20,60
2022-11-27,82
2022-12-04,55
2022-12-11,100
2022-12-18,84
2022-12-25,56
2023-01-01,53
2023-01-08,50
2023-01-15,41
2023-01-22,40
2023-01-29,37
2023-02-05,38
2023-02-12,34
2023-02-19,35
2023-02-26,31
2023-03-05,30
2023-03-12,43
2023-03-19,51
2023-03-26,38
2023-04-02,35
2023-04-09,34
2023-04-16,31
2023-04-23,36
2023-04-30,47
2023-05-07,36
2023-05-14,39
2023-05-21,32
2023-05-28,47
2023-06-04,31
2023-06-11,59
2023-06-18,61
2023-06-25,46
2023-07-02,41
2023-07-09,45
2023-07-16,43
2023-07-23,52
2023-07-30,57
2023-08-06,53
2023-08-13,48
2023-08-20,45
2023-08-27,48
2023-09-03,41
2023-09-10,37
2023-09-17,39
2023-09-24,34
2023-10-01,34
2023-10-08,40
2023-10-15,45
2023-10-22,36
2023-10-29,38
2023-11-05,40
