Billy Jack,1971,1,GP,98000000,,708152840,,800000,5780840,112,,Original Screenplay,Western,Live Action,Contemporary Fiction,,['United States'],['English']
Fiddler on the Roof,1971,1,G,80500000,1127,581696975,8144,9000000,65034444,181,"['Religious', '1972 Oscars Best Picture Nominee']",Based on Musical or Opera,Musical,Live Action,Historical Fiction,,['United States'],"['English', 'Hebrew', 'Russian']"
Diamonds Are Forever,1971,12,GP,43800000,72199985,316500963,521720657,7200000,52027556,120,['Secret Agent'],Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,"['Eon Productions', 'United Artists']",['United Kingdom'],['English']
The French Connection,1971,10,R,41158757,2542,297415211,18369,2200000,15897309,104,"['Film Noir', 'Narcotics', 'Organized Crime', 'Car Chase', 'Hitmen', 'Bigotry', 'Epilogue', 'Police Procedural', 'Intertitle', 'Crime Thriller', '1972 Oscars Best Picture Nominee', 'Oscars Best Picture Winner']",Based on Factual Book/Article,Thriller/Suspense,Live Action,Contemporary Fiction,,['United States'],"['English', 'French']"
Summer of '42,1971,4,PG,32063634,,231693403,,1000000,7226049,,['Coming of Age'],,,,,,['United States'],
Dirty Harry,1971,12,R,28153434,,203438104,,4000000,28904198,102,"['Film Noir', 'Action Thriller', 'Sniper', 'Set in San Francisco', 'Inspired by a True Story', 'Serial Killer', 'Kidnap', 'Rescue']",Original Screenplay,Action,Live Action,Contemporary Fiction,,['United States'],['English']
A Clockwork Orange,1971,12,R,26589355,1889403,192135992,13652919,1300000,9393864,136,"['Crime Drama', 'Dystopia', 'Gangs', 'Brainwashing', 'Sex Crimes', 'Revenge', 'Prison', 'Corrupt Cops', ""Yesterday's Tomorrow"", '1990s', '1972 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Drama,Live Action,Science Fiction,,"['United Kingdom', 'United States']",['English']
The Last Picture Show,1971,10,R,20505085,1175,148170757,8491,1300000,9393864,118,"['Coming of Age', '1950s', '1972 Oscars Best Picture Nominee']",Original Screenplay,Drama,Live Action,Historical Fiction,"['Columbia Pictures', 'BBS']",['United States'],['English']
Bedknobs and Broomsticks,1971,10,G,17871174,,129137986,,6300000,45524111,117,"['World War II', 'Intertitle', 'Nazis', 'Witches', 'Secret Magic', 'Unexpected Families', 'Stage Magician', 'Confidence Men', 'Family Affair']",Based on Fiction Book/Short Story,Musical,,,,['United States'],"['English', 'German']"
Sweet Sweetback's Baad Asssss Song,1971,1,R,15200000,,109835951,,150000,1083907,,"['Black Urban', 'African Americans', 'Blaxploitation']",,,,,,['United States'],
Willard,1971,1,PG-13,14545941,,105109688,,,,,"['Animal Lead', 'Animals Gone Bad', 'Remade']",,,,,,['United States'],
The Hospital,1971,12,PG-13,14142409,,102193746,,,,,,,,,,,['United States'],
Klute,1971,1,R,12512637,,90416933,,2500000,18065123,114,"['Film Noir', 'Crime Thriller']",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,['United States'],['English']
The Andromeda Strain,1971,1,G,12376563,70,89433655,506,6500000,46969321,131,"['Techno-Thriller', 'Epidemic', 'Non-Chronological', 'Space Program', 'Medical and Hospitals', 'Split Screen']",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Science Fiction,,['United States'],['English']
Escape from the Planet of the Apes,,,G,12300000,,88880407,,2500000,18065123,98,"['Action Adventure', 'Talking Animals', 'Animal Lead', 'Near Future', '1970s', 'Non-Chronological', 'Time Travel']",Original Screenplay,Action,Live Action,Science Fiction,,['United States'],['English']
Shaft,1971,7,R,12121618,,87591410,,500000,3613025,100,"['Mafia', 'Film Noir', 'African Americans', 'Action Thriller', 'Novel or Other Work Adapted by Author', 'Private Investigator', 'Organized Crime', 'Set in New York City', 'Set in New York', 'Set in Harlem']",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,,['United States'],
Cold Turkey,,,PG-13,11000000,,79486543,,,,,,,,,,,['United States'],
Play Misty for Me,1971,1,R,10600000,,76596123,,950000,6864747,102,"['Actors Making Their Directorial Debut', 'Radio Industry', 'One Night Stand', 'Obsessive Love', 'Stalker', 'Directing Yourself', 'Psychological Thriller']",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"['Universal Pictures', 'Malpaso Productions', 'Jennings Lang']",['United States'],['English']
The Big Doll House,1971,1,R,10000000,,72260494,,200000,1445210,95,,Original Screenplay,,Live Action,,,"['Philippines', 'United States']",['English']
McCabe & Mrs. Miller,1971,6,R,8200000,,59253605,,,,,,Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,,['United States'],
Big Jake,,,PG-13,7500000,,54195370,,,,110,"['Prologue', 'Voiceover/Narration', 'Gangs', 'Kidnap', 'Dysfunctional Family', 'Rescue']",Original Screenplay,Western,Live Action,Historical Fiction,,"['Mexico', 'United States']","['English', 'Spanish']"
The Million Dollar Duck,,,PG,4000000,,28904198,,,,,,,,,,,['United States'],
Willy Wonka & the Chocolate Factory,1971,6,G,4000000,65345,28904198,472186,3000000,21678148,100,"['Spoiled Child', 'Food', 'Poverty', 'Rags to Riches', 'Remade']",Based on Fiction Book/Short Story,Musical,Live Action,Kids Fiction,,['United States'],['English']
Le Souffle au Coeur,1971,1,R,1200000,,8671259,,,,118,,Original Screenplay,Drama,Live Action,Historical Fiction,,"['France', 'Germany', 'Italy']","['French', 'Italian']"
The Beguiled,1971,1,R,1100000,,7948654,,,,105,,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"['Jennings Lang', 'Universal Pictures', 'Malpaso Productions']",['United States'],"['English', 'French']"
