The Exorcist,1973,12,R,230956951,197867132,1522313209,1304207331,12000000,79095946,121,"['Possessed', 'Religious', 'Skeptic', 'Exorcism', 'Supernatural Horror', '1974 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Horror,Live Action,Fantasy,['Warner Bros.'],['United States'],['English']
The Sting,1973,12,PG,159616327,,1052083698,,5500000,36252309,129,"['Gambling', 'Confidence Men', 'Crime Caper', 'Oscars Best Picture Winner', '1974 Oscars Best Picture Nominee']",Original Screenplay,Comedy,Live Action,Historical Fiction,,['United States'],['English']
American Graffiti,1973,8,PG,115000000,25000000,758002815,164783221,777000,5121462,112,"['Street Racing', 'Coming of Age', 'Epilogue', 'Coming-of-Age Drama', 'Filmed in San Rafael, CA', 'Filmed in Marin County, CA', 'Filmed in California, United States', 'Filmed in United States', 'Filmed in Mel’s Drive-in, San Francisco, CA', 'Filmed in San Francisco, CA', 'Filmed in Sonoma County, CA', 'Filmed in Sonoma, CA', 'Filmed in Richmond, CA', 'Filmed in Contra Costa County, CA', 'Filmed in Novato, CA', 'Filmed in Buchanan Field Airport, Concord, CA', 'Filmed in Concord, CA', 'Filmed in Tamalpais High School, Mill Valley, CA', 'Filmed in Mill Valley, CA', 'Filmed in Petaluma, CA', '1974 Oscars Best Picture Nominee']",Original Screenplay,Drama,Live Action,Contemporary Fiction,"['Lucas Film LTD', 'Coppola Company']",['United States'],['English']
Papillon,1973,12,PG,53267000,25989,351100313,171302,13500000,88982939,150,"['Prison', 'Biography', 'Biographical Drama']",Based on Fiction Book/Short Story,Drama,Live Action,Dramatization,,['United States'],['English']
The Way We Were,1973,10,PG,49919870,,329038278,,5000000,32956644,118,,,,,,,['United States'],['English']
Magnum Force,1973,12,R,44680473,,294503690,,,,122,,Original Screenplay,Action,Live Action,Contemporary Fiction,,['United States'],['English']
Live and Let Die,1973,6,PG,35400000,126400000,233333041,833143964,7000000,46139302,121,"['Secret Agent', 'Action Thriller', 'Sequel With Lead Character Recast', 'Sequels Without Their Original Stars', 'African Americans', 'Organized Crime', 'Secret Identity', 'United Nations', 'Assassination', 'Set in New York City', 'Set in New York', 'Set in New Orleans, LA']",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,"['Eon Productions', 'United Artists']",['United Kingdom'],['English']
Robin Hood,1973,11,G,32056467,,211294715,,5000000,32956644,,"['Intertitle', 'Prologue', 'Voiceover/Narration', 'Breaking the Fourth Wall', 'Talking Animals', 'Animal Lead']",Based on Folk Tale/Legend/Fairytale,Adventure,Hand Animation,Kids Fiction,,['United States'],['English']
Paper Moon,1973,1,PG,30933743,248,203894472,1635,2500000,16478322,102,"['Confidence Men', 'Young Child Dealing with the Death of a Parent', 'Relatives Playing Relatives', 'Road Trip', 'Corrupt Cops', 'Prostitution']",Based on Fiction Book/Short Story,Comedy,Live Action,Historical Fiction,,['United States'],['English']
Serpico,1973,12,R,27274150,27101,179772891,178632,3000000,19773986,130,"['Film Noir', 'Biographical Drama', 'Biography', 'NYPD', 'Corrupt Cops', 'Whistleblowers']",Based on Factual Book/Article,Drama,Live Action,Dramatization,"['Columbia Pictures', 'Dino De Laurentiis']",['United States'],['English']
