Love Story,1970,12,PG,106397186,30000000,802517229,226279639,2200000,16593840,99,"['Voiceover/Narration', 'Terminal Illness', 'Romance', 'Non-Chronological', 'College', 'Hockey', 'Dysfunctional Family', 'Lawyers', 'Musicians', 'Romantic Drama', '1971 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,['United States'],['English']
Airport,1970,3,G,100489150,,757954953,,10200000,76935077,137,"['Disaster', 'In a Plane', 'Ensemble', '1971 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,['United States'],"['English', 'Italian']"
M*A*S*H,1970,1,R,81600000,,615480619,,3500000,26399291,116,"['Military Life', 'Korean War', 'War', '1971 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Black Comedy,Live Action,Historical Fiction,,['United States'],['English']
Patton,1970,1,M/PG,62500000,,471415915,,12000000,90511856,172,"['Oscars Best Picture Winner', '1971 Oscars Best Picture Nominee']",Based on Factual Book/Article,Drama,Live Action,Historical Fiction,,['United States'],
The Aristocats,1970,4,G,55675257,269,419939235,2029,4000000,30170619,78,"['Animal Lead', 'Talking Animals', 'Cross-Class Romance', 'Romance', 'Inheritance', 'Musicians', 'Jazz', 'Country Mouse, City Mouse']",Original Screenplay,Musical,Hand Animation,Kids Fiction,,['United States'],['English']
Woodstock,1970,3,R,34505110,194156,260260128,1464452,600000,4525593,184,,Based on Real Life Events,Documentary,Live Action,Factual,,['United States'],['English']
Little Big Man,1970,12,PG-13,31559552,,238042801,,15000000,113139820,139,"['Culture Clash', 'Old Age Makeup']",Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,,['United States'],['English']
Ryan's Daughter,1970,11,R,30846306,410,232663033,3092,13300000,100317307,206,"['Romance', 'World War I', 'Set in Ireland', 'Romantic Drama', 'Relationships Gone Wrong', 'PTSD', '1910s', 'Suicide', 'Falsely Accused']",Original Screenplay,Drama,Live Action,Historical Fiction,,['United Kingdom'],['English']
Tora! Tora! Tora!,1970,9,G,29548291,,222872554,,25000000,188566366,144,"['Historical Battles', 'World War II', 'War', '1930s', 'In a Plane', 'On a Boat', 'Ensemble', 'War Drama']",Original Screenplay,Drama,Live Action,Historical Fiction,,"['Japan', 'United States']","['English', 'Japanese']"
Catch-22,1970,6,R,24911670,,187900123,,18000000,135767784,122,"['World War II', 'War', 'Anti-war', 'Black Comedy', 'Satire', '1940s', 'In a Plane', 'Plane Crash', 'Sex Crimes', 'Prostitution', 'Revenge', 'Death of a Girlfriend / Boyfriend', 'AWOL']",Based on Fiction Book/Short Story,Black Comedy,Live Action,Historical Fiction,,['United States'],"['English', 'Italian']"
