Star Wars Ep. IV: A New Hope,1977,5,PG,460998007,314400000,2226293263,1518328911,11000000,53122195,119,"['Visual Effects', 'Space Opera', 'Filmed in Elstree Studios, Hertfordshire, England', 'Filmed in Hertfordshire, England', 'Filmed in England', 'Filmed in United Kingdom', 'Filmed in Shepperton Studios, Surrey, England', 'Filmed in Surrey, England', 'Filmed in Van Nuys, CA', 'Filmed in California, United States', 'Filmed in United States', 'Filmed in Tozeur, Tunisia', 'Filmed in Tunisia', 'Filmed in Chott el Djerid, Tunisia', 'Filmed in Nafta, Tunisia', 'Filmed in Matmata, Tunisia', 'Filmed in Hotel Sidi Driss, Tunisia', 'Filmed in Death Valley, CA', 'Filmed in Tikal, Guatemala', 'Filmed in Guatemala', 'Filmed in China Lake Acres, CA', '1978 Oscars Best Picture Nominee']",Original Screenplay,Adventure,Live Action,Science Fiction,['20th Century Fox'],['United States'],['English']
Close Encounters of the Third Kind,1977,11,PG,169100479,171700000,816635325,829189167,20000000,96585809,134,"['Friendly Alien on Earth', 'Visual Effects', 'First Contact']",Original Screenplay,Adventure,Live Action,Science Fiction,"['Columbia Pictures', 'EMI', 'Phillips', 'Steven Spielberg']",['United States'],['English']
Saturday Night Fever,1977,12,R,139486124,142913876,673619004,690172614,3500000,16902517,118,"['Dancing', 'Life Drama', 'Set in New York City']",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"['Paramount Pictures', 'Robert Stigwood']",['United States'],['English']
Smokey and the Bandit,1977,5,PG,126737428,,612051848,,4300000,20765949,96,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"['Rastar Production', 'Universal Pictures']",['United States'],['English']
The Goodbye Girl,1977,12,PG,83700000,,404211609,,,,110,"['Romance', '1978 Oscars Best Picture Nominee']",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,['United States'],['English']
In Search of Noah's Ark,1977,2,G,55700000,,268991477,,,,,,,,,,,['United States'],
"Oh, God!",1977,10,PG,51061196,,246589345,,2100000,10141510,106,"['Religious', 'Gods and Goddesses', 'Farcical / Slapstick Comedy']",Based on Fiction Book/Short Story,Comedy,Live Action,Fantasy,,['United States'],"['English', 'German']"
A Bridge Too Far,1977,6,PG,50800000,,245327954,,26000000,125561551,176,"['Historical Battles', 'World War II', 'War']",Based on Fiction Book/Short Story,Action,Live Action,,,"['United Kingdom', 'United States']",['English']
The Deep,1977,6,PG,50681884,,244757537,,100000000,482929043,124,"['Chase Adventure', 'Treasure Hunters', 'Underwater', 'Animals Gone Bad', 'Organized Crime', 'Narcotics', 'Double-Crossed']",Based on Fiction Book/Short Story,Adventure,Live Action,Contemporary Fiction,,"['United Kingdom', 'United States']",['English']
The Spy Who Loved Me,1977,7,PG,46800000,138600000,226010792,669339653,14000000,67610066,125,"['Secret Agent', 'Action Adventure', 'Cold War', 'Enemies Forced to Work Together']",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,['Eon Productions'],['United Kingdom'],['English']
