Jaws,1975,6,PG,272257035,210690343,1480992241,1146088891,12000000,65276208,124,"['Animals Gone Bad', 'Visual Effects', 'Addiction', 'Government Corruption', 'Development Hell', 'Nature Horror', '1976 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Horror,Live Action,Contemporary Fiction,"['Universal Pictures', 'Zancuk Company', 'David Brown']",['United States'],['English']
One Flew Over the Cuckoo's Nest,1975,11,R,108981275,54292840,592823700,295335894,4400000,23934610,133,"['Life Drama', 'Mental Illness', 'Mental Hospital', 'Oscars Best Picture Winner', '1976 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,['United States'],['English']
Shampoo,1975,2,R,49407734,,268762461,,4000000,21758736,109,"['Beauty Industry', 'Comedy Drama', 'Romance', 'Relationships Gone Wrong', 'Satire', 'Infidelity', 'Love Triangle']",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,['United States'],['English']
Dog Day Afternoon,1975,8,R,46665856,,253847511,,3800000,20670799,125,"['LGBTQ+', 'Film Noir', 'Crime Drama', 'Bank Robbery', 'Hostage', 'Ransom', '1976 Oscars Best Picture Nominee']",Based on Factual Book/Article,Drama,Live Action,Dramatization,,['United States'],['English']
The Return of the Pink Panther,1975,5,G,41833347,,227560189,,5000000,27198420,113,"['Crime Comedy', 'Sequels With Returning Stars', 'Delayed Sequel', 'Heist']",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,"['United Kingdom', 'United States']",['English']
Three Days of the Condor,1975,9,R,41509797,,225800179,,7800000,42429535,117,"['Inside Job', 'Political Thriller', 'C.I.A.', 'Whistleblowers', 'Hitmen', 'Fugitive / On the Run', 'Betrayal', 'Surprise Twist']",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,['United States'],"['English', 'French']"
Funny Lady,1975,3,PG,40055897,,217891423,,8500000,46237314,136,"['Comedy Drama', 'Biography', '1930s', 'Singers', 'Romance']",Based on Real Life Events,Comedy,Live Action,Dramatization,,['United States'],['English']
The Other Side of the Mountain,1975,11,PG,34673100,,188610708,,,,102,"['Romance', 'Biographical Drama', 'Biography', 'Skiing', 'Paralysis', 'Wheelchair User', 'Olympics', '1950s']",Based on Factual Book/Article,Drama,Live Action,Dramatization,,['United States'],['English']
Tommy,1975,3,PG,34251525,22953,186317473,124857,3000000,16319052,111,"['Prologue', '1940s', 'World War II', 'In a Plane', 'Plane Crash', '1950s', 'Missing Person', 'Death of a Spouse or Fiancée / Fiancé', 'Young Child Dealing with the Death of a Parent']",Based on Musical or Opera,Musical,Live Action,Fantasy,,['United Kingdom'],['English']
The Apple Dumpling Gang,1975,7,G,31916500,,173615675,,,,100,"['Comedy Westerns', 'Unexpected Families', 'Rags to Riches', 'Romance', 'Gangs', 'Dysfunctional Family', 'Marriage of Convenience', '1870s']",Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,,['United States'],['English']
Rollerball,1975,1,R,30000000,,163190520,,6000000,32638104,125,"['Fake Sports', 'Roller Skating', 'Remade', 'Sports Action', 'Death Sports', 'Dystopia', 'Corporate Malfeasance', 'Novel or Other Work Adapted by Author', ""Yesterday's Tomorrow"", '2010s']",Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,,"['Canada', 'United Kingdom', 'United States']",['English']
The Adventures of the Wilderness Family,1975,12,G,28819175,,156767206,,,,100,,Original Screenplay,Adventure,Live Action,Contemporary Fiction,,['United States'],['English']
The Hindenburg,1975,12,PG,27945225,,152013194,,15000000,81595260,125,,Original Screenplay,Adventure,Live Action,Historical Fiction,,['United States'],['English']
Lucky Lady,1975,1,PG,24441725,,132955261,,12100000,65820177,118,"['Comedy Drama', '1930s', 'Prohibition Era', 'Smuggler', 'Romance', 'Love Triangle', 'Set in Mexico', 'Set in California']",Original Screenplay,Drama,Live Action,Historical Fiction,,['United States'],"['English', 'French', 'Spanish']"
Love and Death,1975,6,PG,20123742,,109466798,,3000000,16319052,85,"['Satirical Comedy', 'Satire', 'Romance', 'Pacifism', 'Relationships Gone Wrong', 'Political Assassination', '1800s', 'Arranged Marriage']",Original Screenplay,Comedy,Live Action,Historical Fiction,,['United States'],['English']
Barry Lyndon,,,PG,20000000,210386,108793680,1144433,11000000,59836524,185,"['Historical Drama', 'Marriage of Convenience', 'Dysfunctional Family', 'Step-Family', 'Gambling', 'Stolen Identity', 'Money Troubles', 'Child Abuse', 'Death of a Son or Daughter', 'Spoiled Child', '1700s', '1976 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"['Hawk Films', 'Peregrine Productions', 'Warner Bros.']","['United Kingdom', 'United States']","['English', 'French', 'German']"
The Great Waldo Pepper,,,PG,20000000,,108793680,,5000000,27198420,107,"['Historical Drama', 'In a Plane', 'Plane Crash', 'Romance', 'Relationships Gone Wrong', '1920s', '1930s', 'Stuntman', 'Professional Rivalry', 'Death of a Colleague']",Original Screenplay,Drama,Live Action,Historical Fiction,,['United States'],['English']
The Adventure of Sherlock Holmes' Smarter Brother,,,PG,20000000,,108793680,,2805000,15258314,91,"['Crime Comedy', 'Sibling Rivalry', 'Dysfunctional Family', '1890s', 'Scotland Yard', 'Blackmail', 'Directing Yourself', 'Screenplay Written By the Star', 'Actors Making Their Directorial Debut', 'Romance']",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,"['United Kingdom', 'United States']",['English']
Alice Doesn't Live Here Anymore,1975,1,PG,17600000,,95738439,,1800000,9791431,112,"['Road Trip', 'Comedy Drama', 'Single Parent', 'Domestic Abuse', 'Relationships Gone Wrong', 'Money Troubles', 'Dysfunctional Family', 'Romance', 'Prostitution', 'Juvenile Delinquent']",Original Screenplay,Drama,Live Action,Contemporary Fiction,,['United States'],['English']
W.W. and the Dixie Dancekings,,,PG,17000000,,92474628,,2805000,15258314,91,"['Farcical / Slapstick Comedy', 'Fugitive / On the Run', 'On Tour', 'Musicians', '1950s', 'Revenge', 'Bank Robbery']",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,['United States'],['English']
Breakout,,,R,16000000,,87034944,,1000000,5439684,96,"['Action Adventure', 'Prison', 'Prison Break', 'Framed', 'Inspired by a True Story', 'Family Affair']",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,,['United States'],['English']
The Eiger Sanction,1975,1,R,14200000,,77243513,,9000000,48957156,129,"['Action Thriller', 'Crime', 'Mountain Climbing', 'Out of Retirement', 'One Last Job', 'Hitmen', 'Nazis Outside of World War II']",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,,['United States'],"['English', 'German']"
French Connection II,,,R,12000000,,65276208,,4300000,23390641,119,"['Film Noir', 'Crime Drama', 'Narcotics', 'Set in France', 'Police Detective', 'Organized Crime']",Original Screenplay,Drama,Live Action,Contemporary Fiction,,['United States'],"['English', 'French']"
Race with the Devil,1975,6,PG,12000000,,65276208,,1745000,9492249,88,"['Action Horror', 'Satanism', 'Corrupt Cops', 'Cults', 'Road Trip', 'Fugitive / On the Run']",Original Screenplay,Horror,Live Action,Contemporary Fiction,,['United States'],['English']
Bite the Bullet,,,PG,11000000,,59836524,,4000000,21758736,132,,Original Screenplay,Western,Live Action,Historical Fiction,,['United States'],"['English', 'Spanish']"
Rooster Cogburn,1975,1,PG,8000000,,43517472,,10000000,54396840,108,,Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,,['United States'],['English']
The Shootist,1975,1,PG,6000000,,32638104,,,,100,,Based on Fiction Book/Short Story,Western,Live Action,Contemporary Fiction,,['United States'],['English']
Hard Times,1975,1,R,5000000,,27198420,,2700000,14687147,,,,,,,,['United States'],
The Stepford Wives,,,PG-13,4000000,,21758736,,,,,"['Cloning', 'Robot']",,,,,,['United States'],
"Farewell, My Lovely",,,R,2000000,,10879368,,2500000,13599210,95,['Film Noir'],Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,['United States'],['English']
Sharks' Treasure,1975,4,PG,2000000,,10879368,,,,95,['Treasure Hunters'],Original Screenplay,Adventure,Live Action,Contemporary Fiction,,['United States'],['English']
At Long Last Love,1975,1,G,1500000,,8159526,,5140000,27959976,123,,Original Screenplay,Musical,Live Action,Contemporary Fiction,,['United States'],['English']
The Rocky Horror Picture Show,1975,9,R,1414845,1001700,7696310,5448931,1200000,6527621,98,"['Midnight Movie', 'Cult Movie', 'Alien Invasion', 'LGBTQ+', 'Cannibalism']",Based on Musical or Opera,Musical,Live Action,Fantasy,"['20th Century Fox', 'Michael White Productions']","['United Kingdom', 'United States']",['English']
